PS3 network enters record books	Markets mixed on credit concerns	The Tamil Tigers have vowed revenge after the man believed to be their number two was killed in a Sri Lankan air force raid.  The military said SP Thamilselvan was at a meeting with other leaders in a camp when it was targeted on Friday.  There are fears the killing could lead to an escalation of the war with the rebels, who want an independent state for the Tamil minority.  Sri Lanka's government has described the killing as a major success.  The rebels' top leader, Velupillai Prabhakaran, has made a rare public appearance to mourn SP Thamilselvan.  The Tamil Tigers' spokesman, Rasiah Ilanthiriyan, told the BBC the group's response to the killing would be in deeds, not words.  'Surprise'  But the rebel spokesman refused to be drawn on the manner of the retaliation they would take. He said it had to be a surprise.  If we want we can take them one by one, so they must change their hideouts  Defence Secretary Gotabaya Rajapaksa  Have your say - what now?  Thamilselvan obituary  SP Thamilselvan was the head of the rebels' political wing and held an important position in their hierarchy.  In areas they control, the Tigers have declared three days of mourning for SP Thamilsevan and the five others killed in the bombing raid.  SP Thamilsevan's death follows that of another key rebel spokesman, Anton Balasingham, last year.  Sri Lanka's Defence Secretary, Gotabaya Rajapaksa, said: If we want we can take them one by one, so they must change their hideouts.  Mr Thamilselvan was the public face of the rebels  The rebels announced on Friday their police chief, P Nadesan, would replace Mr Thamilselvan. He will also remain in charge of police.  The pro-rebel TamilNet website said the air strike had been carried out in Kilinochchi, the rebels' northern stronghold.  It followed a Tamil Tiger attack on an air force base at Anuradhapura last week which left 14 security forces personnel dead and destroyed eight aircraft.  Observers say the two sides now seem to be gearing up for a major confrontation in the north of the country.  The rebels are fighting for autonomy for minority Tamils in the north and east, claiming discrimination by the majority Sinhalese population.  About 70,000 people have died in more than 20 years of war.
Man killed in motorway accident	Inquiry into Haiti UN sex claims	Some of the Europeans implicated in an alleged attempt to kidnap children from Chad have appeared before a magistrate in the capital, N'Djamena.  Eight of the 17 accused Europeans and three Chadians were questioned in connection with an alleged attempt to fly 103 children out of Chad.  Six of the accused are members of a charity, Zoe's Ark, which claimed the children were Sudanese orphans.  But aid agencies and the French foreign ministry questioned the claim.  The purpose of Saturday's hearing was not explained.  On Friday, 16 Europeans and four Chadians had been flown to N'Djamena from Abeche.  They joined the 17th European, a Belgian pilot who was already being held in a N'Djamena prison.  Questionable claims  The group was detained last week in Abeche as they tried to take to France 103 children they claimed were orphans from Sudan's Darfur region.  However, UN aid agencies and the International Red Cross have said 91 of them came from a home with at least one adult considered a parent figure.  Six workers for Zoe's Ark, the French charity behind the flight, were charged with kidnapping on Tuesday and three French journalists and seven Spanish air crew were charged as accomplices.  If they are found guilty, the main accused could face between five and 20 years in prison with hard labour.  On Thursday Chadian President Idriss Deby said he hoped the three journalists and the Spanish flight crew members could be released soon.
MySpace in Google software deal	Banksy 'caught in the act on film'	The technology behind the wind-up radio could soon be helping to light up some of the poorest homes in Africa.  The Freeplay Foundation is developing prototypes of a charging station for house lights it hopes will improve the quality of life for many Africans.  The Foundation said the lights would replace the expensive, polluting and unhealthy alternatives many Africans currently use to light their homes.  Field testing of the prototypes will start in Kenya in the next few months.  Light and life  Kristine Pearson, director of the Freeplay Foundation, said few Africans in the continents most vulnerable areas had access to electricity to light homes.  Their life stops or is very narrowed when the sun goes down, she said. Two extra hours of light would make a big difference to their life.  The World Bank estimates that more than 500 million people in sub-Saharan Africa do not have access to electricity supplies that could be used to light their homes.  Instead, said Ms Pearson, many used kerosene lamps, battery-powered lights or wood fires as sources of illumination after sundown.  Buying kerosene or batteries can consume up to 15% of a household's budget, said Ms Pearson. In addition wood was hard to gather and unhealthy to burn.  As part of its LifeLight Project the Freeplay Foundation has drawn up designs for a charging base unit that would be able to power up several detachable lights that can be used around a home.  The Foundation aims to train women to sell and maintain the lights  They could use them for study or for safety - to help them if they go somewhere at night, said Ms Pearson.  Working prototypes are now being made that will be tested with families in Kenya to refine the design.  Freeplay technology has already been used to create wind-up torches and small lights said Ms Pearson but the LifeLight Project aims to make bigger, brighter bulbs for homes.  She said the Foundation was adopting a similar approach to that used for the wind-up Lifeline radio to get the lights to families.  Instead of just giving the lights out and then leaving, the Foundation aims to recruit women who will sell the lights and be trained to repair and maintain them for customers.  Ms Pearson said the take up of the lights was likely to be rapid because it would piggyback on the network created by the Foundation to maintain Lifeline radios.  Since it was established in 1998 the Foundation has given out more than 150,000 Lifeline radios.  Ms Pearson said the Foundation had applied for a grant to fund the design and testing work from the World Bank as part of that organisation's Lighting Africa initiative.
Man held in counter-terror raid	Google opens up social networks	Thousands of people were expected to take part in a parade through north-west London to celebrate Diwali, the Hindu festival of lights.  A procession of floats and musicians was to make its way along Ealing Road and Harrow Road in Brent on Saturday.  Local schoolchildren who have taken part in costume, lantern-making and drumming workshops will show off their new skills in the parade.  Fireworks were being lit at the end of the parade by the mayor of Brent.  The hour-long parade was from Alperton Tube station to Barham Park.  Vashti Waite, festival organiser said: Diwali is a fabulous event for families and I'm delighted we have been able to offer these creative workshops to young people this year.  When the streets of Brent fill with music, dance and light these young people will know they have helped to make it such a special occasion.  Are you celebrating Diwali? Are you going to watch the parade? Send your pictures and videos of the festival and celebrations to:  yourpics@bbc.co.uk or text them to 61124. If you have a large file you can upload here.  Click here to see terms and conditions  At no time should you endanger yourself or others, take any unnecessary risks or infringe any laws.
PS3 network enters record books	Iraq vows to arrest PKK rebels	Mobile phone provider 3 has launched a new handset that will allow users to make free calls over the internet via telephony service Skype.  Users will also be able to use Skype's instant messaging service, 3 said.  But while people using Skype on their computers are able to make cheap global calls to any phone number, this will not be possible via the new 3 handset.  Skype has about 246 million registered users worldwide and is one of the firms reshaping the global phone industry.  Mobile potential  To date, mobile phone companies have been unwilling to let users freely access Skype via their handsets for fear that it would hurt their business.  While it is possible to access Skype from a number of handsets, this has involved downloading third-party software, something that has put off the majority of users.  The Skype-phone will be the first instance of a phone operator launching a mass market device that is designed to allow free calling over the internet from a mobile, 3 said.  It takes an innovative operator... to challenge traditional thinking and offer the kind of product other operators are still shying away from, said Skype's acting chief executive, Michael van Swaaij.  It's is now truly mobile. Skype has now taken a giant step forward in the mobile arena.  And chief executive of 3 UK, Kevin Russell, said the firm wanted to make mobile internet more accessible.  Services need to be simple to access and affordable, he said.  Mobile has the potential to massively increase access to internet calling.  Global reach  The service, launching on 2 November, will be accessed by a button on the handset.  As well as the UK, the 3 Skype-phone will be launched in countries including Australia, Denmark, Italy and Hong Kong.  Pay as you go customers will have to top up their account with at least 10 each month to qualify for the free Skype-to-Skype calls, 3 said.
Saints issue warning over finance	Intel backs wireless Africa plan	Police in the central Italian town of Perugia have been carrying out a detailed search of a flat where a British student was found murdered.  Meredith Kercher, 21, was found on Friday afternoon with her throat cut in an apartment she shared.  Bloodstains were found in the bathroom and her bedroom door was locked from the inside while her window was broken.  Her father John said he was due to fly to Italy, and the Foreign Office said it was working with Italian officials.  Miss Kercher, from Coulsdon, south London, had been on a study year from Leeds University.  Clues  Police are said to be examining her phone, found in a nearby garden before her body was discovered, and a second phone found near her body.  Police discovered her body in her locked bedroom  Police are also keen to trace an Italian boyfriend and a missing key used to lock Miss Kercher's door.  They also recovered a bloodstained handkerchief from close to the apartment.  Police said Miss Kercher had watched a film at a friend's house on Thursday evening but returned home alone to the apartment she shared with three others.  BBC correspondent Christian Fraser said the door to the bedroom in which she was found had been locked from the inside and it is thought the murderer may have left through a broken window.
Why popstars are going it alone	Industry reacts to games review	Fire officers have briefly entered a Warwickshire warehouse to search for three firefighters missing and feared dead after a suspected arson attack.  The officers spent a few minutes in the devastated building to conduct an initial visual assessment.  One fireman died after being pulled from the vegetable packing plant when the warehouse roof collapsed, but his three colleagues remained inside.  An inquiry into the fire will look at why crews were sent into the building.  Warwickshire police said: The specialist search and rescue team were only able to enter a few feet into the building, where they remained for only a few minutes, to carry out an initial visual assessment of the collapsed building.  Fire officers and police officers at the scene have now withdrawn.  'My worst day'  It said work would resume on Sunday with the assistance of structural engineers and the Health and Safety Executive.  Prime Minister Gordon Brown earlier said he was shocked and saddened while Tory leader David Cameron said it was a reminder of the dangers facing emergency workers.  A Warwickshire fire service statement said: Concerns are heightened hour by hour for the three firefighters who are still missing.  Our worst fears may be realised but we will not give up our search.  Ever-present threat of death  In pictures: Warehouse fire  The gutted warehouse is being treated as a crime scene and police said they believed the fire might have been started deliberately.  Warwickshire's chief fire officer William Brown, speaking at a press conference on Saturday morning, described it as the worst day of my career.  He said an inquiry into the fire would look at why the firefighters were sent into the building.  The whole situation around this incident, the tactics employed by the firefighters while they were there, will be subject to this investigation.  The prime minister said in tribute to the firefighters: My thoughts are with the families of those killed, missing and injured.  I pay tribute to the courage, dedication and service of the firefighters. We stand ready to help in any way we can.  It is believed that warehouse staff were in the building, near Stratford-upon-Avon when fire broke out. An FBU spokesman said crews would have been sent in if more civilians were thought to be inside.  Vegetable packing and distribution firm Wealmoor Atherstone Ltd owns the site, where it employs 300 people.  'Devastated' firm  A spokesman for the company said it was devastated by the death of the firefighter and would cooperate with police and fire investigations into the blaze.  Matt Wrack, general secretary of the Fire Brigades Union (FBU), told BBC News the potential loss of four lives would make the incident the worst loss of life among its members for 35 years.  In 1972, seven firefighters died while fighting a blaze at a warehouse in Kilbirnie Street, Glasgow.  In that incident, one firefighter was trapped inside the building and six of his colleagues died trying to rescue him.
Support for ad-tracking opt out	Richard and Judy quit chatshow	
Motorway crash victim dies	Card companies lose refund case	Linda Stein, former co-manager of punk band The Ramones, has been found dead at her Manhattan apartment.  A pathologist said the 62-year-old, who went on to become one of New York's leading estate agents, died from blows to the head and neck.  Stein, the ex-wife of Sire Records head Seymour Stein, managed the Ramones with Danny Fields during their 1970s heyday.  After parting company with the band in 1980, she went into property. Her clients included Sting and Billy Joel.  Long-time friend Sir Elton John told the New York Times he was absolutely shocked and upset.  'Roller coaster'  According to the newspaper, Stein was the model for the agent who tries to sell Charlie Sheen's character an apartment in the film Wall Street.  Born in Manhattan, she worked as a teacher before a blind date with Seymour Stein brought her into the music business.  The record mogul would later tell Vanity Fair magazine their marriage had resembled eight years on a roller coaster, and not always strapped in.  Stein is credited with arranging The Ramones' July 1976 appearance at the Roundhouse in London, thought to be one of the key moments in the creation of the British punk scene.
F1: Hamilton eyes team targets	Labour 'united despite mistakes'	A maternity unit is to reopen after being forced to close in January over fire safety issues.  Fire officers said the ward at Robert Jones and Agnes Hunt Hospital in Oswestry would not last 30 minutes in a fire and access was difficult.  It also closed for six months in 2003 after 22 midwives took leave to have babies before local people mounted a successful campaign to get it reopened.  The first mothers-to-be will be admitted on Monday.  Bridget Poultney, senior midwifery sister, said it was feared at one point that the six-bed unit would close for good.  Treatment available includes antenatal, scanning and postnatal care and use of a birthing pool.
NHS staff protest against reforms	Inquiry into Haiti UN sex claims	Manchester United boss Sir Alex Ferguson accused referee Howard Webb of favouring Arsenal in United's 2-2 draw.  The Gunners twice came from behind to salvage a draw at home on Saturday.  I think Howard Webb has a great chance to be the top referee but today was a big game for him and, at times, he favoured Arsenal, Ferguson told MUTV.  Their second goal came from him not giving a free-kick for a foul on Louis Saha on the far side. It should've been a foul for us.  Interview: Arsenal boss Arsene Wenger  Interview: Man Utd midfielder Ryan Giggs  Interview: Man Utd assistant boss Carlos Queiroz  However, Ferguson stated it was hard for referees not to be influenced by hostile home crowds.  I am pleased that in two big games we had to run after the score and we did that both times  Arsenal manager Arsene Wenger  It is very difficult for the referee, he added. On our bench, we were getting terrible abuse from people two or three feet away from us.  There is a lack of security. It is absolutely disgraceful the abuse you and your staff take. All sorts of things are been shouted and screamed at you and there is an absolute danger here.  However, a spokesperson for the Gunners said: Stadium security is of the highest importance and we feel there is ample stewarding around the dugout area.  However, the club does recognise that some exchanges which takes place can be of an aggressive nature, and there was an incident this afternoon where one supporter was ejected.  There is also CCTV which monitors the area which our stadium management crew review in detail after games, and if necessary the club will take further action.  Ferguson had thought his side had done enough to win the match when Cristiano Ronaldo put them 2-1 up with eight minutes left.  But William Gallas, whose own goal had given United a first-half lead before a Cesc Fabregas goal, volleyed an injury-time equaliser for the Gunners.  606: DEBATE  Arsenal had more chances and had a decent penalty shout waved away  adam_ayres1988  Our character was tested twice, said Arsenal manager Arsene Wenger. Just before half-time and with eight minutes to go.  Overall though, I believe it was a fair result. We played with the handbrake on in the first half, though, and we lacked our usual flowing game.  It was the second time in successive league matches that Arsenal had drawn against top opposition, having finished 1-1 at Liverpool last Sunday.  And Wenger was frustrated not to have taken at least four points from the two games.  That is a disappointment, he added. But on the other hand I am pleased that in two big games we had to run after the score and we did that both times.  We are still in charge of the title race because we are top with a game in hand.
December shoot for X Files sequel	Magistrate quizzes Chad accused	The National Trust has said it would fight the government to protect the countryside from housing development.  Chairman Sir William Proby claimed some 10,000 acres of the green belt is at risk, which he said was terrifying.  The countryside was losing its redeeming and restorative qualities inch by inch, he told the Trust's annual general meeting in London.  The Trust's members are to be asked if it should buy more green belt land to protect it from development.  Prime Minister Gordon Brown has pledged to build three million more homes by 2020 to tackle the housing crisis.  The government says that extra housing is needed to ease shortages, and it can be built while protecting the green belt.  Ministers have said the boom in house building would take place on brownfield sites and areas owned by the public sector.  In his address to the meeting in London, Sir William said plans to build more homes were driven by ministers' obsession with economic growth.  HAVE YOUR SAY  There are still too many undeveloped derelict sites, these should be developed before building on green fields  Adrian, Taunton  Send us your comments  He said more than three square miles of the green belt have been lost each year as a result of regional development plans.  Sir William said: What is happening to the countryside? Inch by inch, year by year its redeeming, restorative qualities are being eroded.  He went on: We are not against progress, nor do we hark back to some mythical golden past. We support the needs of all citizens for decent places to live and we know that some development must happen.  But the sheer scale of what is being contemplated now goes way beyond this.  Sir William told the meeting that new arguments had to be developed to define the benefits that green belt land and open space bring to us all.  He asked members if The National Trust, which has an annual income of 350m, should buy up green-belt areas to protect them instead of relying on the planning system to safeguard the land.  GOVERNMENT HOUSING POLICIES  Housing market renewal scheme to restore sustainable communities to parts of the North and Midlands  Home Information Packs being introduced  All social housing must meet the 'decent homes standard'  100,000 homes in carbon neutral communities planned for old industrial sites  New HomeBuy scheme enables social tenants, key workers and other first time buyers to buy share of a home  Sir William's comments come a week after an independent body set up to advise ministers on new homes said that even the government's projected three million figure would not be enough to meet the demand for new homes.  The government said Sir William's analysis was flawed and that he did not fully understand the planning restrictions in place to protect green-belt land.  A spokesman for the Department for Communities and Local Government said the claims made by Sir William were flawed and misunderstand the planning protections that are in place to safeguard the countryside.  He said: For the sake of first time buyers and families on council waiting lists, there is a need to build more homes but we believe it is possible to do so whilst protecting the environment and green spaces.  The National Trust has 3.5m members, making it one of Europe's biggest membership organisation.  It owns some 250,000 hectares of countryside and 700 miles of British coastline.
Net giants test web health	Google opens up social networks	Russia says the armed seizure of a Ukrainian oil refinery in which it has a stake is a flagrant outrage.  Russian First Deputy PM Sergei Ivanov accused Kiev of inaction after a former head of the Kremenchuk refinery, backed by armed guards, was reinstated.  Pavel Ovcharenko cited a court order returning him control of the refinery.  Kremenchuk's Russian oil supplier - and shareholder - has suspended deliveries, prompting fears of a fresh row between Moscow and Kiev over energy supplies.  The Russian firm Tatneft, based in the Tatarstan region, has a 28.8% stake in the refinery.  The Tatarstan government has urged Ukraine's chief prosecutor to launch criminal proceedings against those who seized the plant.  Russia and Ukraine only recently ended months of dispute by negotiating a deal over the supply of natural gas.  Russian giant Gazprom had been threatening to suspend gas deliveries to Ukraine over alleged unpaid bills.  Ukraine had in turn accused Russia of using energy as a political lever against its pro-Western government.  'Heading for crisis'  Mr Ivanov said on Friday that the dispute over Kremenchuk had harmed greatly the relations between Ukrainian and Russian investors.  He urged Kiev to intervene, saying the Ukrainian authorities' inaction is bewildering.  Armed men entered the Kremenchuk complex on 19 October.  The refinery's boss, Sergei Glushko, was forced from office and its former chief, Pavel Ovcharenko, was reinstated.  The change prompted Tatneft to suspend oil supplies.  On its website, Tatneft says the members of a private security firm had forcibly entered the refinery, battered its guards and briefly corralled board members into a room.  Mr Ovcharenko told AFP news agency the raid had been conducted by bailiffs and had the backing of a court order.  Mr Glushko, quoted by Reuters news agency, said Kremenchuk would stop functioning if it turned to domestic oil supplies and imports from other sources to replace the Russian oil.  Without Russian oil we cannot do anything, he said. Give it a week more and we will be in crisis.
Mum's appeal after son's suicide	NHS staff protest against reforms	An influential group of peers has accused the government of putting its head in the sand after it rejected their ideas for dealing with e-crime.  The Lords Science and Technology Committee report found the internet was the playground of criminals.  But the government did not agree with its suggestion that lawlessness was rife on the internet.  Committee member the Earl of Erroll said the government's response was a huge disappointment.  In its report, the Lords committee criticised the government's Wild West approach of leaving internet security to individuals as inefficient and unrealistic.  Disagreement  It called for the police and criminal justice system to have more resources to catch and prosecute internet criminals.  The peers recommended a central law enforcement agency for reporting e-crime, incentives for banks and other companies trading online to improve data security and the setting up of a kite-mark to identify internet service providers that guaranteed a secure service.  The government does not agree with the implication that the public has lost confidence in using the internet  Government response  And they also argued that steps should be taken to establish legal liability for damage resulting from security flaws found in hardware or software.  But the government made no commitment to accept any of the recommendations.  In a statement, it said: The government does not agree with the implication that the public has lost confidence in using the internet.  The continuing increase of trading on the internet, with year-on-year growth of 80% in some areas, does not support such a view ...  As such, we would refute the suggestion that ... lawlessness is rife.  Business burdens?  The response went on: The government does take seriously all crime committed by use of the internet and agrees with the committee that confidence in the internet is vital.  However, we also feel there is an unwarranted suggestion that [the government's] only response to the problem is to regard it as a personal responsibility of the user to take necessary precautions...  Unfortunately, the government dismissed every recommendation out of hand  Earl of Erroll  Legislation will be kept under review, but the government does not consider imposing additional burdens on business is the best way forward.  The Earl of Erroll said: Unfortunately, the government dismissed every recommendation out of hand and their approach seems to solely consist of putting their head in the sand.  During its inquiry, the committee heard compelling evidence of substantial amounts of e-crime.  We recommended that the government set up a group to develop a scheme for recording all forms of e-crime, the earl said.  The reply just says that the government 'do not see that there is a need for this'. If you have no idea of the scale of the problem, how can you design solutions?
